github_username,github_link,expected_category
delilaseptianidp17,https://github.com/delilaseptianidp17,Almost Ready
Aayush-Ratna-Sthapit,https://github.com/Aayush-Ratna-Sthapit,Almost Ready
mohsen-arshi,https://github.com/mohsen-arshi,Almost Ready
BSD-Programming-Workshop,https://github.com/BSD-Programming-Workshop,Almost Ready
Nimoyroosvelt23,https://github.com/Nimoyroosvelt23,Almost Ready
Itzme-lucifer,https://github.com/Itzme-lucifer,Almost Ready
rachel-chu,https://github.com/rachel-chu,Almost Ready
d3w3r,https://github.com/d3w3r,Almost Ready
Michael-Zhen,https://github.com/Michael-Zhen,Almost Ready
HarisAli1998,https://github.com/HarisAli1998,Almost Ready
anssoares,https://github.com/anssoares,Almost Ready
Rupeshkumar2,https://github.com/Rupeshkumar2,Almost Ready
kosarheidari,https://github.com/kosarheidari,Almost Ready
Grupo67,https://github.com/Grupo67,Almost Ready
polymod-org,https://github.com/polymod-org,Almost Ready
anujgarg28,https://github.com/anujgarg28,Almost Ready
dixopatrick422,https://github.com/dixopatrick422,Almost Ready
aromiafolabi,https://github.com/aromiafolabi,Almost Ready
dustinjang,https://github.com/dustinjang,Almost Ready
arunava980,https://github.com/arunava980,Almost Ready
pBxr,https://github.com/pBxr,Almost Ready
IThiagoI,https://github.com/IThiagoI,Almost Ready
EdgarGlezRivera,https://github.com/EdgarGlezRivera,Almost Ready
cadenlyy,https://github.com/cadenlyy,Almost Ready
ujwalasonni,https://github.com/ujwalasonni,Almost Ready
diegobrauer2001,https://github.com/diegobrauer2001,Almost Ready
cakeganic,https://github.com/cakeganic,Almost Ready
Shaitan007,https://github.com/Shaitan007,Almost Ready
talha4561,https://github.com/talha4561,Almost Ready
sohel1137,https://github.com/sohel1137,Almost Ready
JessicaLRose,https://github.com/JessicaLRose,Almost Ready
Mahsa-khaleghi,https://github.com/Mahsa-khaleghi,Almost Ready
KarlaSribeiro,https://github.com/KarlaSribeiro,Almost Ready
abbnoevah,https://github.com/abbnoevah,Almost Ready
Mikie120,https://github.com/Mikie120,Needs Improvement
Yuni1204,https://github.com/Yuni1204,Needs Improvement
YusufEmircan,https://github.com/YusufEmircan,Needs Improvement
luigejmk,https://github.com/luigejmk,Needs Improvement
scorpionSRyu,https://github.com/scorpionSRyu,Needs Improvement
IceLens,https://github.com/IceLens,Needs Improvement
tyrtyrK,https://github.com/tyrtyrK,Needs Improvement
tr-vengatesh,https://github.com/tr-vengatesh,Needs Improvement
D4rks1gn,https://github.com/D4rks1gn,Needs Improvement
Tra92,https://github.com/Tra92,Needs Improvement
manav407,https://github.com/manav407,Needs Improvement
jmur4t,https://github.com/jmur4t,Needs Improvement
313ctr0nz,https://github.com/313ctr0nz,Needs Improvement
SHmetaverse,https://github.com/SHmetaverse,Needs Improvement
Scirox93,https://github.com/Scirox93,Needs Improvement
Frixjay,https://github.com/Frixjay,Needs Improvement
Saraholiveirash,https://github.com/Saraholiveirash,Needs Improvement
levanthangg,https://github.com/levanthangg,Needs Improvement
SpiliopoulosG,https://github.com/SpiliopoulosG,Needs Improvement
SDK1410,https://github.com/SDK1410,Needs Improvement
Lugo6ix,https://github.com/Lugo6ix,Needs Improvement
VladiSibichen,https://github.com/VladiSibichen,Needs Improvement
Mu-1104,https://github.com/Mu-1104,Needs Improvement
paweenatongbai,https://github.com/paweenatongbai,Needs Improvement
Lizxxx,https://github.com/Lizxxx,Needs Improvement
Azzyeu,https://github.com/Azzyeu,Needs Improvement
AndreiPiscitelli,https://github.com/AndreiPiscitelli,Needs Improvement
WildAndrey,https://github.com/WildAndrey,Needs Improvement
tonytxf,https://github.com/tonytxf,Needs Improvement
BLjaswanth,https://github.com/BLjaswanth,Needs Improvement
Spookyto,https://github.com/Spookyto,Needs Improvement
dritier,https://github.com/dritier,Needs Improvement
Lemonad1k,https://github.com/Lemonad1k,Needs Improvement
batuhanmagrali,https://github.com/batuhanmagrali,Needs Improvement
Frank-Dai,https://github.com/Frank-Dai,Needs Improvement
MRX-DEVELOPER,https://github.com/MRX-DEVELOPER,Needs Improvement
Endoxos0,https://github.com/Endoxos0,Needs Improvement
shivam-sw,https://github.com/shivam-sw,Needs Improvement
m-kritika,https://github.com/m-kritika,Needs Improvement
IsThatTony,https://github.com/IsThatTony,Needs Improvement
Blackbear199,https://github.com/Blackbear199,Needs Improvement
IISER-K-SMC,https://github.com/IISER-K-SMC,Needs Improvement
Xainx32,https://github.com/Xainx32,Needs Improvement
biewtee1234,https://github.com/biewtee1234,Needs Improvement
lanshuluu,https://github.com/lanshuluu,Needs Improvement
Taraka-Venkata-Kishore-Babu-E5903,https://github.com/Taraka-Venkata-Kishore-Babu-E5903,Needs Improvement
SFB1158RDM,https://github.com/SFB1158RDM,Needs Improvement
mudmap-io,https://github.com/mudmap-io,Needs Improvement
Blizzorganization,https://github.com/Blizzorganization,Needs Improvement
MoisesDeLimaSuarez,https://github.com/MoisesDeLimaSuarez,Needs Improvement
2992005,https://github.com/2992005,Needs Improvement
Beep8172,https://github.com/Beep8172,Needs Improvement
LinkPoly,https://github.com/LinkPoly,Needs Improvement
makensonlamour,https://github.com/makensonlamour,Needs Improvement
Fan7asyyy,https://github.com/Fan7asyyy,Needs Improvement
rezephae,https://github.com/rezephae,Needs Improvement
